,Household_ID,Zone,Household_Size,Distribution_Date,Ration_Type,Ration_Amount_Kg,Satisfaction_Rating,Rice_Kg,Vegetable_Oil_L,Rice_Per_Person,Oil_Per_Person,Ration_Amount_Per_Person,Zone_Monthly_Total_Kg,Total_Food_Kg,Zone_Quarterly_Total_Kg
0,HH0001,Kakuma 4,4.0,2025-06-10,Cash Transfer,44.9,Very Unsatisfied,35.5,2.5,8.88,0.62,11.22,13447.05,82.9,13447.05
1,HH0002,Kalobeyei,4.0,2025-06-06,Cash Transfer,46.6,Satisfied,34.8,4.6,8.7,1.15,11.65,12046.84,86.0,12046.84
2,HH0003,Kakuma 3,5.0,2025-06-18,E-Voucher,44.4,Very Unsatisfied,31.9,2.6,6.38,0.52,8.88,11340.6,78.9,11340.6
3,HH0004,Kalobeyei,8.0,2025-06-13,Cash Transfer,31.4,Unsatisfied,24.4,2.6,3.05,0.32,3.92,12046.84,58.4,12046.84
4,HH0005,Kakuma 1,5.0,2025-06-03,Dry Rations,40.16,Very Unsatisfied,24.4,2.3,4.88,0.46,8.03,19830.82,66.86,19830.82
5,HH0006,Kakuma 2,5.0,2025-06-30,E-Voucher,25.4,Very Unsatisfied,16.5,2.2,3.3,0.44,5.08,12251.69,44.1,12251.69
6,HH0007,Kakuma 3,1.0,2025-06-24,Cash Transfer,44.9,Unsatisfied,16.5,4.0,16.5,4.0,44.9,11340.6,65.4,11340.6
7,HH0008,Kakuma 1,9.0,2025-06-10,Cash Transfer,57.0,Very Unsatisfied,36.8,4.8,4.09,0.53,6.33,19830.82,98.6,19830.82
8,HH0009,Kakuma 3,6.0,2025-06-30,Cash Transfer,21.8,Very Unsatisfied,16.3,1.8,2.72,0.3,3.63,11340.6,39.9,11340.6
9,HH0010,Kalobeyei,3.0,2025-06-14,Cash Transfer,32.4,Satisfied,25.4,3.1,8.47,1.03,10.8,12046.84,60.9,12046.84
10,HH0011,Kakuma 4,8.0,2025-06-06,Cash Transfer,38.2,Very Unsatisfied,25.4,3.0,3.18,0.38,4.78,13447.05,66.6,13447.05
11,HH0012,Kakuma 3,9.0,2025-06-03,E-Voucher,41.7,Satisfied,27.9,2.8,3.1,0.31,4.63,11340.6,72.4,11340.6
12,HH0013,Kalobeyei,6.0,2025-06-16,E-Voucher,48.8,Satisfied,38.7,3.0,6.45,0.5,8.13,12046.84,90.5,12046.84
13,HH0014,Kakuma 2,7.0,2025-06-07,E-Voucher,38.5,Satisfied,26.5,3.8,3.79,0.54,5.5,12251.69,68.8,12251.69
14,HH0015,Kakuma 4,1.0,2025-06-20,E-Voucher,36.8,Unsatisfied,25.7,2.6,25.7,2.6,36.8,13447.05,65.1,13447.05
15,HH0016,Kakuma 2,5.0,2025-06-14,Dry Rations,51.0,Unsatisfied,34.2,4.4,6.84,0.88,10.2,12251.69,89.6,12251.69
16,HH0017,Kakuma 4,5.0,2025-06-14,E-Voucher,46.6,Very Unsatisfied,36.4,3.9,7.28,0.78,9.32,13447.05,86.9,13447.05
17,HH0018,Kakuma 1,4.0,2025-06-15,Cash Transfer,45.4,Unsatisfied,32.4,2.8,8.1,0.7,11.35,19830.82,80.6,19830.82
18,HH0019,Kakuma 1,6.0,2025-06-21,Cash Transfer,40.16,Very Unsatisfied,30.9,2.5,5.15,0.42,6.69,19830.82,73.56,19830.82
19,HH0020,Kakuma 4,6.0,2025-06-03,E-Voucher,49.8,Unsatisfied,38.0,3.2,6.33,0.53,8.3,13447.05,91.0,13447.05
20,HH0021,Kakuma 2,9.0,2025-06-02,Cash Transfer,33.4,Very Satisfied,22.3,2.4,2.48,0.27,3.71,12251.69,58.1,12251.69
21,HH0022,Kalobeyei,1.0,2025-06-27,E-Voucher,32.1,Very Satisfied,22.0,2.0,22.0,2.0,32.1,12046.84,56.1,12046.84
22,HH0023,Kakuma 4,6.0,2025-06-02,Cash Transfer,47.5,Very Unsatisfied,36.6,2.4,6.1,0.4,7.92,13447.05,86.5,13447.05
23,HH0024,Kakuma 1,7.0,2025-06-03,Dry Rations,23.7,Unsatisfied,15.9,2.2,2.27,0.31,3.39,19830.82,41.8,19830.82
24,HH0025,Kakuma 1,3.0,2025-06-18,Dry Rations,40.9,Unsatisfied,31.0,4.0,10.33,1.33,13.63,19830.82,75.9,19830.82
25,HH0026,Kakuma 3,8.0,2025-06-14,E-Voucher,36.8,Satisfied,29.0,2.5,3.62,0.31,4.6,11340.6,68.3,11340.6
26,HH0027,Kakuma 3,5.0,2025-06-20,E-Voucher,25.9,Neutral,18.8,1.7,3.76,0.34,5.18,11340.6,46.4,11340.6
